medfile,rat,session,box,dietgroup,date,bottleL,bottleR,licksL,licksR,Totallicks,intakeL,intakeR,include
!2019-02-22_08h59m.Subject IPP3.1,IPP3.1,s1,1.0,NR,22022019.0,saccharin,saccharin,556.0,11.0,567.0,2.0,2.0,
!2019-02-22_08h59m.Subject IPP3.2,IPP3.2,s1,2.0,NR,22022019.0,saccharin,saccharin,1299.0,455.0,1754.0,4.0,2.0,
!2019-02-22_08h59m.Subject IPP3.3,IPP3.3,s1,3.0,PR,22022019.0,saccharin,saccharin,322.0,1323.0,1645.0,2.0,3.0,
!2019-02-22_08h59m.Subject IPP3.4,IPP3.4,s1,4.0,PR,22022019.0,saccharin,saccharin,1814.0,1119.0,2933.0,4.0,2.0,
!2019-02-22_10h12m.Subject IPP3.5,IPP3.5,s1,1.0,NR,22022019.0,saccharin,saccharin,434.0,580.0,1014.0,3.0,2.0,
!2019-02-22_10h12m.Subject IPP3.6,IPP3.6,s1,2.0,NR,22022019.0,saccharin,saccharin,220.0,86.0,306.0,1.0,0.0,
!2019-02-22_10h12m.Subject IPP3.7,IPP3.7,s1,3.0,PR,22022019.0,saccharin,saccharin,628.0,737.0,1365.0,2.0,3.0,
!2019-02-22_10h12m.Subject IPP3.8,IPP3.8,s1,4.0,PR,22022019.0,saccharin,saccharin,2467.0,1804.0,4271.0,5.0,5.0,
!2019-02-22_11h25m.Subject IPP3.9,IPP3.9,s1,1.0,NR,22022019.0,saccharin,saccharin,207.0,94.0,301.0,1.0,3.0,
!2019-02-22_11h25m.Subject IPP3.10,IPP3.10,s1,2.0,NR,22022019.0,saccharin,saccharin,817.0,271.0,1088.0,2.0,1.0,
!2019-02-22_11h25m.Subject IPP3.11,IPP3.11,s1,3.0,PR,22022019.0,saccharin,saccharin,62.0,2217.0,2279.0,1.0,7.0,
!2019-02-22_11h25m.Subject IPP3.12,IPP3.12,s1,4.0,PR,22022019.0,saccharin,saccharin,1080.0,410.0,1490.0,2.0,1.0,
!2019-02-23_09h27m.Subject IPP3.1,IPP3.1,s2,1.0,NR,23022019.0,saccharin,saccharin,2193.0,601.0,2794.0,8.0,2.0,
!2019-02-23_09h27m.Subject IPP3.2,IPP3.2,s2,2.0,NR,23022019.0,saccharin,saccharin,914.0,2519.0,3433.0,4.0,11.0,
!2019-02-23_09h27m.Subject IPP3.3,IPP3.3,s2,3.0,PR,23022019.0,saccharin,saccharin,467.0,1281.0,1748.0,1.0,5.0,
!2019-02-23_09h28m.Subject IPP3.4,IPP3.4,s2,4.0,PR,23022019.0,saccharin,saccharin,472.0,4975.0,5447.0,2.0,2.0,
!2019-02-23_10h38m.Subject IPP3.5,IPP3.5,s2,1.0,NR,23022019.0,saccharin,saccharin,740.0,937.0,1677.0,3.0,5.0,
!2019-02-23_10h39m.Subject IPP3.6,IPP3.6,s2,2.0,NR,23022019.0,saccharin,saccharin,197.0,140.0,337.0,7.0,3.0,
!2019-02-23_10h39m.Subject IPP3.7,IPP3.7,s2,3.0,PR,23022019.0,saccharin,saccharin,730.0,1678.0,2408.0,5.0,7.0,
!2019-02-23_10h39m.Subject IPP3.8,IPP3.8,s2,4.0,PR,23022019.0,saccharin,saccharin,519.0,5245.0,5764.0,3.0,9.0,
!2019-02-23_08h11m.Subject IPP3.9,IPP3.9,s2,1.0,NR,23022019.0,saccharin,saccharin,2138.0,210.0,2348.0,8.0,2.0,
!2019-02-23_08h11m.Subject IPP3.10,IPP3.10,s2,2.0,NR,23022019.0,saccharin,saccharin,1302.0,2295.0,3597.0,5.0,12.0,
!2019-02-23_08h11m.Subject IPP3.11,IPP3.11,s2,3.0,PR,23022019.0,saccharin,saccharin,753.0,3714.0,4467.0,4.0,14.0,
!2019-02-23_08h11m.Subject IPP3.12,IPP3.12,s2,4.0,PR,23022019.0,saccharin,saccharin,732.0,368.0,1100.0,2.0,2.0,
!2019-02-24_10h46m.Subject IPP3.1,IPP3.1,s3,1.0,NR,24022019.0,saccharin,saccharin,304.0,2730.0,3034.0,2.0,10.0,
!2019-02-24_10h46m.Subject IPP3.2,IPP3.2,s3,2.0,NR,24022019.0,saccharin,saccharin,721.0,3652.0,4373.0,3.0,9.0,
!2019-02-24_10h46m.Subject IPP3.3,IPP3.3,s3,3.0,PR,24022019.0,saccharin,saccharin,647.0,2352.0,2999.0,2.0,10.0,
